Variant,Mean_Reward,Std_Dev
Full PPO,50.682240027283285,28.337007020966038
No Recovery,42.11463451027409,35.40119968385956
No Delta,38.02104361684674,48.78211792655669
No Robustness,32.27476942665793,41.7519911948116
